pname,cname,effect,dosage,dprecaution,interaction,side_effect,storage
트리탄정150밀리그램(트리메부틴말레산염),맥널티제약(주),"이 약은 식도역류 및 열공헤르니아, 위·십이지장염, 위·십이지장궤양에 있어서의 소화 기능이상(복통, 소화불량, 구역, 구토), 과민성대장증후군 및 경련성 결장에 사용합니다.

이 약은 소아 질환으로 습관성 구토 및 비감염성 장관통과장애(변비, 설사)에 사용합니다.
","성인은 말레인산트리메부틴으로써 1회 100-200 mg를 1일 3회 식전에 복용합니다.

연령, 증상에 따라 적절히 증감하십시오.
","갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 부인, 수유부는 의사 또는 약사와 상의하십시오.

수유부가 부득이 이 약을 복용하는 경우에는 수유를 중지하십시오.
",,"드물게 변비, 설사, 복명, 구역, 구토, 소화장애, 구갈, 구내마비감, 심계항진, 피로감, 졸음, 현기, 권태감, 두통, GOT, GPT상승, 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","실온에서 보관하십시오.
"
데오란트센스액(염화알루미늄수화물),태극제약(주),"이 약은 겨드랑이, 손, 발의 다한증(땀과다증)에 사용합니다.
","저녁에 적용 부위에 적당량을 바른 후 다음날 아침 물로 씻어 제거합니다.

발한(땀이 남)이 멈출 때까지는 매일 밤 한번씩 사용하고 증상이 호전(나아짐)될 경우에는 일주일에 1~2회로 줄이십시오.
","이 약에 과민증 환자는 이 약을 사용하지 마십시오.

이 약은 벗겨지거나 손상된 피부, 또는 최근에 면도한 부위에는 적용하지 마십시오.

치료 대상 부위에만 사용하여야 하며 적용 부위는 완전히 건조한 상태를 유지시키십시오.

눈이나 점막에 닿지 않도록 주의하십시오.

이 약을 적용하기 바로 직전에 목욕은 피해야 하며 적어도 적용 후 한 시간은 지나야 합니다. 겨드랑이의 털은 이 약을 적용하기 12시간 전후로는 제거하지 마십시오.
",,"땀 분비의 감소가 일시적으로 자극감이나 발적(충혈되어 붉어짐)을 초래할 수 있으며 이러한 증상이 심해지면 사용을 일시 중단하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
엠로딘액(L-카르니틴),맥널티제약(주),"이 약은 1차성, 2차성 카르니틴결핍증, 허혈성심질환에 의한 심근대사장애(협심증, 급성심근경색)에 사용합니다.
","성인은 1일 2~3 g을 2~3회 분할 경구투여합니다.

연령(나이), 증상에 따라 적절히 증감하십시오.
","이 약에 과민증 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 임부 및 수유부, 요독증 환자는 의사 또는 약사와 상의하십시오.

경구투여전 희석하여 투여하십시오.
",,"일시적인 구역·구토, 복통, 설사, 체취, 발진, 두드러기, 안면부종 등이 나타날 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","빛을 피해 실온에서 보관하십시오.
"
모드콜콜드시럽,(주)종근당,"이 약은 감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.
","만 15세 이상은 1회 15 ml, 만 11세 이상~만 15세 미만은 10 ml, 만 7세 이상~만 11세 미만은 7.5 ml, 만 3세이상~만 7세 미만은 5 ml, 만 2세 이상~만 3세 미만은 3.75 ml씩, 1일 3회 식후 30분 및 필요한 경우 취침시에 복용합니다.

원칙적으로 복용간격은 4시간으로 합니다.
","이 약에 과민증 또는 경험자, 다른 해열진통제, 감기약 복용 시 천식을 일으킨 적이 있는 사람, 만 3개월 미만의 영아(갓난아기), MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기 체질, 약에 의한 알레르기(발열, 발진, 관절통, 천식, 가려움증 등) 경험자, 만 3개월 이상 및 만 2세 미만의 영·유아, 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 간장, 신장, 심장, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(눈의 통증, 눈이 침침함 등), 배뇨(소변을 눔) 곤란 등이 있는 사람, 고령자, 몸이 약한 사람 또는 고열이 있는 사람, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈 문제를 가지고 있는 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열·발진이나 지속적인 두통이 동반되는 기침 등의 증상이 나타나는 경우 의사 또는 약사와 상의하십시오.

5~6회 복용하여도 증상이 좋아지지 않을 경우 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

복용 중에 음주하지 마십시오.

장기간 계속하여 복용하지 마십시오.

어린이에게 투여할 경우 보호자의 지도ㆍ감독하에 투여하십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.
","MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 진해거담제(기침·가래약), 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염[코염]용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오.

바르비탈계 약물, 삼환계 항우울제 및 알코올, 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제 등 다른 약물을 투여 받고 있는 사람은 의사 또는 약사와 상의하십시오.
","슈도에페드린 성분과 관련한 허혈성 대장염(급성 복통, 장출혈 등)의 증상, 발진·발적(충혈되어 붉어짐), 가려움, 구역·구토, 식욕부진, 변비, 부종, 배뇨(소변을 눔)곤란, 지속적이거나 심한 목마름, 어지러움, 불안, 떨림, 불면, 드물게 쇽 증상(복용후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안(눈)증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군: 고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 등의 심한 증상), 천식, 전신의 나른함, 황달(피부 또는 눈의 흰자위가 황색을 띄게 됨), 간질성폐렴(기침을 동반하고, 숨이 차고, 호흡곤란, 발열 등) 등이 나타날 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
듀오그린큐정,한국신텍스제약(주),"이 약은 변비, 변비에 따른 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질의 완화에 사용합니다.
"," 만 15세 이상 및 성인은 1회 2정씩, 만 11세 이상~만 15세 미만은 1회 1~2정씩, 만 7세 이상~만 11세 미만은 1회 1정씩, 1일 1회 취침시 [공복(빈 속)시]에 복용합니다.

다만, 초회는 최소량을 복용하고 변의 모양과 상태를 보면서 조금씩 증량 또는 감량합니다.
","급성 복부질환(충수염, 장출혈, 궤양성 결장염 등), 장폐색(창자막힘) 환자, 만 7세 이하 어린이, 갈락토오스 불내성, Lapp 유당(젖당)분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 황색4호에 과민증, 심한 복통 또는 구역, 구토 환자, 임부 또는 임신하고 있을 가능성이 있는 여성, 나트륨 제한식이를 하고 있는 사람, 직장의 출혈 혹은 장부전 환자 또는 경험자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

1주 정도 투여하여도 증상의 개선이 없을 경우 투여를 즉각 중지하고 의사 또는 약사와 상의하십시오.

10세 이하의 어린이는 복용을 피하십시오.

복용 시 정제를 씹지 마십시오.
","제산제 또는 우유 섭취 후 1시간 이내에는 이 약을 복용하지 마십시오.
","발진·충혈되어 붉어짐, 가려움, 심한 복통(배 아픔), 설사, 구토, 복부불쾌감, 경련 등이 나타날 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","어린이의 손이 닿지 않는 곳에 보관하십시오.

습기와 빛을 피해 실온에서 보관하십시오.
"
탑콘도르600정,(주)한국비엔씨,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시의 비타민 B1, B2, B6 보급, 신경통, 근육통, 관절통(요통, 어깨결림 등)의 완화, 각기 ᠊ 눈의 피로에 사용합니다.
","만 8세 이상 및 성인은 1회 1정씩, 1일 1회 식후에 복용합니다.
","이 약에 과민증 환자, 고칼슘혈증, 유육종증(원인을 알 수 없는 전신 염증질환), 신장질환 환자, 만 12개월 미만의 젖먹이, 신장결석, 심한 증상의 신부전 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 만 1세 미만의 젖먹이, 햇빛을 많이 보고 정상적인 식사를 하는 어린이, 임부 및 임신하고 있을 가능성이 있는 여성, 수유부, 미숙아, 유아, 심장·순환기계기능 장애, 신장장애, 저단백혈증, 강심배당체를 투여 중인 환자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도·감독하에 투여하십시오.

요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.

1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제, 레보도파와 함께 복용하지 마십시오.

항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오.

녹차, 홍차 등 탄닌을 함유하는 차는 복용중, 복용전후에는 피하십시오.
","구역, 구토, 묽은 변, 설사, 구내염(입안염), 식욕부진, 복부팽만감, 변비, 저혈압, 얼굴달아오름, 심박동불규칙, 피부발진, 어지러움, 얼굴·다리 종창(부기), 홍반, 두드러기, 습진, 발진, 반구진성 발진, 가려움, 부종·수분저류(신부전 또는 심부전 환자), 폴산이 부족한 환자의 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
세피덤지엔크림,지엘파마(주),"이 약은 2차 감염된 알레르기성 또는 염증성 피부질환(습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진, 박탈피부염, 가려움, 건선), 1도 화상에 사용합니다.
","1일 1～3회 환부에 적당량 바릅니다.
","이 약에 과민증 환자 또는 경험자, 세균(결핵, 매독 등)ㆍ진균(칸디다증, 백선 등)ㆍ스피로헤타속ㆍ효모ㆍ바이러스(대상포진, 단순포진, 수두, 종두증 등)ㆍ동물(옴, 사면발이 등)성 피부감염증 환자, 고막천공이 있는 습진성 외이도염 환자, 궤양(베체트병 제외), 제2도 심재성 이상의 화상ㆍ동상 환자, 입주위피부염, 보통여드름, 주사(rosacea) 환자, 스트렙토마이신, 카나마이신, 겐타마이신, 네오마이신 등 아미노글리코사이드계 항생물질 또는 바시트라신에 과민증 환자 또는 경험자는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 프로필렌글리콜에 과민증 환자 또는 경험자, 임부 또는 임신하고 있을 가능성이 있는 부인 및 수유부, 유ㆍ소아는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 사용할 경우 보호자의 지도·감독하에 투여하십시오.

장기간 계속하여 사용하지 마십시오.

안과용으로 사용하지 마십시오.

화장이나 면도 후 등 치료 이외의 목적으로 사용하지 마십시오.

밀봉붕대법을 사용하지 마십시오.

3~4주 정도 사용하여도 증상의 개선이 없을 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

자세한 사항은 허가사항 상세정보를 참고하십시오.
",,"피부의 세균성(전염성 농가진, 모낭염 등), 바이러스성 감염증, 모낭염, 부스럼, 피부자극, 자통, 발열, 작열감, 가려움, 발진ㆍ 발적, 홍조, 피부건조, 농포성피부염, 땀띠, 상처 악화, 욕창, 농포증, 과민증, 피부변색, 다모증, 여드름상발진, 색소침착저하증, 입주위피부염, 알레르기성접촉피부염, 피부짓무름, 2차감염, 피부위축, 줄무늬, 뇌하수체ㆍ부신피질계 기능의 억제, 안압 상승, 녹내장, 빈도불명의 시야흐림, 신장애, 난청 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
노펜에스정,한국신텍스제약(주),"이 약은 두통, 치통, 발치후 동통(통증), 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통 및 오한, 발열시의 해열에 사용합니다.
","만 15세 이상 및 성인은 1일 1정 2회까지로 하고 공복 시를 피하여 복용하십시오.

복용 간격은 6시간 이상으로 하십시오.
","이 약에 과민증 환자 또는 경험자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 만2세 미만의 소아, 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 알레르기 체질, 약에 의한 알레르기 반응(발열, 발진, 관절통, 천식, 가려움증 등) 경험자, 간장질환, 신장질환, 심장질환, 갑상선질환, 당뇨병, 고혈압 등이 있는 사람, 몸이 약한 사람 또는 고열이 있는 사람, 고령자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람은 의사 또는 약사와 상의하십시오.

5～6회 복용하여도 증상이 좋아지지 않을 경우 복용을 즉각 중지하고 의사 또는 약사와 상담하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 사용할 경우 보호자의 지도 감독하에 사용하십시오.
","다른 해열진통제, 감기약, 진정제와 함께 복용하지 마십시오.

이 약을 복용하기 전에 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제 등 다른 약물을 투여 받고 있는 사람은 의사 또는 약사와 상의하십시오.

바르비탈계 약물, 삼환계 항우울제 및 알코올을 투여한 환자는 의사 또는 약사와 상의하십시오.

복용중에는 음주하지 마십시오.
","발진·발적, 가려움, 구역·구토, 식욕부진, 변비, 어지러움, 부종, 쇽 증상(복용후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군)(고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 등의 심한 증상이 전신피부, 입이나 눈점막에 나타남), 천식, 간기능장애(전신의 나른함, 황달(피부 또는 눈의 흰자위가 황색을 띄게 됨)등이 나타남)이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손에 닿지 않는 곳에 보관하십시오.
"
나타딘정(로라타딘),대원바이오텍주식회사,"이 약은 알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성 두드러기에 사용합니다.
","성인 및 12세 이상의 소아는 로라타딘으로서 1일 1회 10 mg을 복용합니다.

체중 30 kg 이상의 6-12세 미만의 소아는 1일 1회 10 mg 복용합니다.

체중 30 kg 이하의 6-12세 미만의 소아는 1일 1회 5 mg 복용합니다.

연령, 증상에 따라 적절히 증감합니다.
","이 약에 과민증 환자, 6세 미만의 소아, 임부 및 수유부, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 간장애 또는 신부전 환자는 의사 또는 약사와 상의하십시오.

모유수유 중에는 이 약을 복용하지 마십시오.

항히스타민제제들이 피부반응 표시기에 양성반응을 방해 및 감소시킬 수 있으므로 피부시험 실시 약 48시간 전에는 이 약을 복용하지 마십시오.
","시메티딘, 에리트로마이신, 케토코나졸, 퀴니딘, 플루코나졸, 플루옥세틴과 병용 투여시 이 약의 대사가 저해되어 혈중 농도가 높아지므로 주의하십시오.
","진정작용, 항콜린작용, 두통, 실신, 졸음, 목마름, 위장장애(구역, 위염), 식욕증진, 빈맥, 피로, 발진과 같은 알레르기 반응탈모증, 혈관부종을 포함한 아나필락시스, 간기능 장애, 상실성 부정빈맥, 두근거림, 어지러움, 경련 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","실온에서 보관하십시오.
"
케이페롤정,주식회사 노바엠헬스케어,"이 약은 육체피로, 임신·수유기, 병중·병후(병을 앓는 동안이나 회복 후) 체력저하, 발육기, 노년기의 비타민 D, E, C의 보급에 사용합니다.

이 약은 함유된 비타민 등을 통해 말초혈행장애 및 갱년기 시 어깨·목결림, 수족저림·수족냉증(손발이 차가움) 증상의 완화에 사용합니다.

이 약은 함유된 비타민 등을 통해 뼈, 이의 발육불량, 구루병의 예방, 햇빛·피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈·비출혈(코피)의 예방에 사용합니다.
","만 12세 이상 및 성인은 1회 1정씩, 1일 2회 복용합니다.
","이 약에 과민증 환자, 대두유 과민증 환자 또는 경험자, 콩 또는 땅콩에 과민증 환자, 만 3개월 미만의 젖먹이, 고칼슘혈증(혈액중에 칼슘이 과잉으로 존재하는 상태), 유육종증(원인을 알 수 없는 전신 염증질환), 신장질환 환자, 신장결석 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 만 1세 미만의 젖먹이, 임부 및 임신하고 있을 가능성이 있는 여성, 수유부, 미숙아, 유아, 햇빛을 많이 보고 정상적인 식사를 하는 어린이, 고옥살산뇨증(요중에 과량의 수산염이 배설되어 있는 상태) 환자, 통풍환자, 신장결석 환자 또는 경험자, 지방대사 이상(고지단백혈증, 당뇨병성고지질혈증, 췌장염 등) 환자, 지질성 유제를 투여해야 하는 환자는 의사 또는 약사와 상의하십시오.

1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

혈전성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.

각종 요검사시에 혈당의 검출을 방해할 수 있습니다.

어린이에게 투여할 경우에는 보호자 지도·감독하에 투여하십시오.

정해진 용법과 용량을 잘 지키십시오.
","에스트로겐을 포함한 경구용 피임제를 복용하는 여성은 의사 또는 약사와 상의하십시오.
","구역, 구토, 설사, 위부불쾌감, 변비, 발진, 발적 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

생리가 예정보다 빨라지거나, 양이 점점 많아지거나, 오랜 출혈의 지속 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
이바네구강용스프레이(벤지다민염산염),태극제약(주),"이 약은 인후, 구강, 잇몸, 발치전후의 염증치료 및 진통에 사용합니다.
","어른은 1일 2회에서 6회까지 횟수마다 4~8번 , 6세이상 12세미만은 1일 2회에서 6회까지 횟수마다 4번 분무하십시오.
6세미만은 1일 2회에서 6회까지 횟수마다 아이의 몸무게 4kg당 1번씩 최대한도 4번까지 분무하십시오.
","이 약에 과민증 환자는 이 약을 복용하지 마십시오.
",,"구강에 구강마비감, 자상감, 작열감 또는 과민증, 트림, 구역, 구토, 수면장애, 시각적 환각(세동, 색체에 대한 환각), 두드러기, 발진, 광과민증이 나타나는 경우 복용(사용)을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.
어린이의 손에 닿지 않는 곳에 보관하십시오.
"
콘디에스정,경남제약(주),"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시의 비타민 B1, B2, B6의 보급, 신경통, 근육통, 관절통(요통, 어깨결림 등)의 완화, 각기 ᠊ 눈의 피로에 사용합니다.
","만 8세 이상 및 성인은 1회 1정씩, 1일 1회 식후에 복용합니다.
","이 약에 과민증 환자, 고칼슘혈증, 유육종증(원인을 알 수 없는 전신 염증질환), 신장질환 환자, 만 12개월 미만의 젖먹이, 신장결석, 심한 증상의 신부전 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 만 1세 미만의 젖먹이, 햇빛을 많이 보고 정상적인 식사를 하는 어린이, 임부 및 임신하고 있을 가능성이 있는 여성, 수유부, 미숙아, 유아, 심장·순환기계기능 장애, 신장장애, 저단백혈증, 강심배당체를 투여 중인 환자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도·감독하에 투여하십시오.

요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.

1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제, 레보도파와 함께 복용하지 마십시오.

항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오.

녹차, 홍차 등 탄닌을 함유하는 차는 복용중, 복용전후에는 피하십시오.
","구역, 구토, 묽은 변, 설사, 구내염(입안염), 식욕부진, 복부팽만감, 변비, 저혈압, 얼굴달아오름, 심박동불규칙, 피부발진, 어지러움, 얼굴·다리 종창(부기), 홍반, 두드러기, 습진, 발진, 반구진성 발진, 가려움, 부종·수분저류(신부전 또는 심부전 환자), 폴산이 부족한 환자의 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
듀오그린엘정,한국신텍스제약(주),"이 약은 변비, 변비에 따른 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질의 완화에 사용합니다.
","만 15세 이상은 1회 1~2정씩, 1일 3회 식후에 복용합니다.

복용간격은 4시간 이상으로 합니다. 다만, 초회는 최소량을 복용하고 변의 모양과 상태를 보면서 조금씩 증량 또는 감량합니다.
","급성 복부질환(충수염, 장출혈, 궤양성 결장염 등), 장폐색(창자막힘) 환자는 이 약을 복용하지마십시오.

이 약을 복용하기 전에 심한 복통(배 아픔) 또는 구역, 구토 환자, 임부 또는 임신하고 있을 가능성이 있는 여성, 나트륨 제한식이를 하고 있는 사람, 직장의 출혈 혹은 장부전 환자 또는 경험자, 황색4호에 과민증 환자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

1주 정도 투여하여도 증상의 개선이 없을 경우 투여를 즉각 중지하고 의사 또는 약사와 상의하십시오.

10세 이하의 어린이는 복용을 피하십시오.

복용 시 정제를 씹지 마십시오.
","제산제 또는 우유 섭취 후 1시간 이내에는 이 약을 복용하지 마십시오.
","발진·충혈되어 붉어짐, 가려움, 심한 복통(배 아픔), 설사, 구토, 복부불쾌감, 경련 등이 나타날 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","어린이의 손이 닿지 않는 곳에 보관하십시오.

습기와 빛을 피해 실온에서 보관하십시오.
"
이노콜에프정,한국신텍스제약(주),,"만 15세 이상 및 성인은 1회 2정씩, 1일 3회 식후 30분, 만 8세 이상 ~ 15세 미만은 1회 1정씩, 1일 3회 식후 30분에 복용합니다.
","이 약에 과민증 또는 경험자, 다른 해열진통제, 감기약 복용 시 천식을 일으킨 적이 있는 사람, 만 3개월 미만의 영아(갓난아기), MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 약에 의한 알레르기 경험자, 만 3개월 이상 및 만 2세 미만의 소아, 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 알레르기 체질, 간장, 신장, 심장, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(눈의 통증, 눈이 침침함 등), 배뇨(소변을 눔) 곤란이 있는 사람, 고령자(노인), 몸이 약한 사람 또는 고열이 있는 사람, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열·발진이나 지속적인 두통이 동반되는 기침 등의 증상이 나타나는 경우, 덱스트로메토르판 분해효소 CYP2D6 저대사자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

장기간 계속하여 복용하지 마십시오.

어린이에게 투여할 경우 보호자의 지도·감독하에 투여하십시오.

복용 중에 음주하지 마십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.

5~6회 복용하여도 증상이 좋아지지 않을 경우 의사 또는 약사와 상의하십시오.
","MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 진해거담제(기침·가래약), 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염[코염]용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오.

바르비탈계 약물, 삼환계 항우울제 및 알코올, 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제 등 다른 약물을 투여 받고 있는 사람은 의사 또는 약사와 상의하십시오.
","발진·발적(충혈되어 붉어짐), 가려움, 구역·구토, 식욕부진, 변비, 부종(부기), 배뇨(소변을 눔)곤란, 지속적이거나 심한 목마름, 어지러움, 불안, 떨림, 불면, 쇽 증상(복용후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군: 고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 등의 심한 증상), 천식, 전신의 나른함, 황달(피부 또는 눈의 흰자위가 황색을 띄게 됨), 간질성폐렴(기침을 동반하고, 숨이 차고, 호흡곤란, 발열 등), 슈도에페드린 성분과 관련하여 허혈성 대장염의 증상(급격한 복통, 직장 출혈)의 증상이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
